áYâú (826-A1),,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
15.3,0.01,0.01,0,0
15.1,0.11,0.12,9.8,-67.1
15.4,0.1,0.28,21.8,-58.5
15.3,0.1,0.43,32.5,-47.6
16.3,0.34,0.75,41.2,-33.1
17,1.6,0.69,46.6,-14.5
17.2,0.62,0.91,47.5,6.8
16.9,1.29,0.74,43.6,26.7
16.7,0.24,0.61,36,42.8
16.3,0.26,0.43,25.9,54.9
15,0.11,0.18,14.3,64.2
14.6,0.06,0.03,1.9,71.7
14.2,0,0,0,0
14.2,0,0,0,0
14.6,0,0,0,0
14.2,0,0,0,0
14.7,0,0,0,0
14.6,0,0,0,0
14.6,0,0,0,0
14.4,0,0,0,0
14.8,0,0,0,0
14.8,0,0,0,0
14.5,0,0,0,0
14.9,0,0,0,0
14.5,0.01,0.01,0,0
14.8,0.14,0.13,10,-67.4
16.1,0.9,0.38,21.9,-58.8
16.2,0.09,0.4,32.7,-47.9
16.4,0.14,0.61,41.4,-33.4
18,0.06,0.6,46.9,-14.6
18.2,0.08,0.6,47.9,6.8
17.6,0.13,0.65,43.9,26.9
18.8,0.41,0.67,36.2,43
18.8,0.09,0.32,26.1,55.1
16.8,0.02,0.09,14.5,64.4
15.3,0.01,0.02,2.1,72
14.9,0,0,0,0
14.9,0,0,0,0
14.4,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.4,0,0,0,0
12.8,0,0,0,0
12.5,0,0,0,0
12.3,0,0,0,0
12.2,0,0,0,0
12.3,0,0,0,0
12.4,0,0,0,0
11.7,0.01,0.01,0,0
11.6,0.15,0.14,10.2,-67.6
11.8,1.16,0.37,22.1,-59.1
12.5,0.52,0.62,32.9,-48.1
11.6,0.39,0.78,41.7,-33.6
12.2,0.9,0.89,47.2,-14.7
12.4,0.9,0.9,48.2,6.9
12.2,0.28,0.78,44.2,27.1
11.4,0.7,0.7,36.5,43.2
10.8,0.86,0.48,26.3,55.4
10.7,0.21,0.22,14.7,64.7
10.1,0.11,0.03,2.2,72.2
9.7,0,0,0,0
9.6,0,0,0,0
9.9,0,0,0,0
9.7,0,0,0,0
9.6,0,0,0,0
9.7,0,0,0,0
10,0,0,0,0
9.7,0,0,0,0
10.1,0,0,0,0
10,0,0,0,0
10.2,0,0,0,0
10.2,0,0,0,0
10.4,0.01,0.01,0,0
10.7,0.16,0.14,10.3,-67.9
11.5,0.31,0.38,22.3,-59.4
11.6,0.1,0.44,33.1,-48.4
12.6,0.1,0.57,42,-33.8
13.6,0.62,0.91,47.6,-14.8
13.8,0.62,0.93,48.5,6.9
13.5,0.46,0.85,44.5,27.3
14.1,0.34,0.66,36.7,43.5
13.8,1.02,0.46,26.5,55.6
13.2,0.1,0.18,14.9,65
12.3,0.11,0.03,2.4,72.5
12,0,0,0,0
11.4,0,0,0,0
11.5,0,0,0,0
12.4,0,0,0,0
12,0,0,0,0
13,0,0,0,0
13.2,0,0,0,0
13,0,0,0,0
13.3,0,0,0,0
13.7,0,0,0,0
14,0,0,0,0
14.2,0,0,0,0
14.9,0.01,0.01,0,0
14.7,0.06,0.1,10.5,-68.2
14.7,0.05,0.24,22.5,-59.7
15,0.06,0.37,33.4,-48.7
14.6,0.04,0.36,42.3,-34.1
15.1,0,0.44,47.9,-15
15.3,0.04,0.42,48.8,6.9
16.2,0,0.27,44.8,27.5
16.5,0.02,0.31,37,43.7
16.7,0.06,0.29,26.7,55.9
16.7,0.06,0.15,15.1,65.2
17.2,0.06,0.03,2.6,72.8
17.1,0,0,0,0
17.3,0,0,0,0
18,0,0,0,0
18.5,0,0,0,0
18.6,0,0,0,0
18.8,0,0,0,0
18.4,0,0,0,0
16.4,0,0,0,0
15.2,0,0,0,0
14.4,0,0,0,0
14.6,0,0,0,0
14.1,0,0,0,0
13.2,0.01,0.01,0,0
13.7,0.08,0.12,10.7,-68.5
14,0.09,0.28,22.7,-59.9
14.4,0.08,0.44,33.6,-49
14.9,0.31,0.76,42.6,-34.3
15.5,0.3,0.86,48.2,-15.1
15.2,0.98,0.9,49.1,7
15.6,0.56,0.86,45.1,27.7
15.6,0.31,0.66,37.2,44
13.8,0.08,0.34,26.9,56.2
13.4,0.08,0.18,15.2,65.5
12.8,0.11,0.03,2.7,73.1
12.8,0,0,0,0
12.6,0,0,0,0
12.6,0,0,0,0
12.6,0,0,0,0
12.5,0,0,0,0
12.5,0,0,0,0
12.2,0,0,0,0
12.7,0,0,0,0
12.9,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
13.3,0,0,0,0
12.7,0.01,0.02,0,0
13,0.74,0.18,10.8,-68.8
14.8,0.66,0.42,22.9,-60.2
13.7,0.27,0.58,33.9,-49.2
14.5,0.27,0.74,42.8,-34.5
14.3,0.47,0.92,48.5,-15.2
16,1.54,0.74,49.5,7.1
16.2,1.83,0.58,45.4,27.9
15.4,2.14,0.38,37.5,44.3
15,1.97,0.3,27.2,56.5
14.4,1.44,0.22,15.4,65.8
12.8,0.85,0.04,2.9,73.4
11.9,0,0,0,0
11.8,0,0,0,0
12.8,0,0,0,0
12.4,0,0,0,0
13.2,0,0,0,0
12.8,0,0,0,0
13,0,0,0,0
12.5,0,0,0,0
11.8,0,0,0,0
12,0,0,0,0
12.1,0,0,0,0
12.2,0,0,0,0
12.4,0.01,0.02,0,0
13.2,0.51,0.18,11,-69.1
14,0.34,0.4,23.1,-60.5
15.2,0.22,0.57,34.1,-49.5
16.9,0.06,0.56,43.1,-34.7
15.2,0.09,0.62,48.8,-15.3
16.9,0.2,0.82,49.8,7.1
17.3,0.42,0.86,45.7,28.1
16.4,0.08,0.48,37.7,44.6
16.1,0.09,0.34,27.4,56.8
15.8,0.08,0.18,15.6,66.1
15.4,0.12,0.03,3,73.7
15.9,0,0,0,0
16.2,0,0,0,0
16.2,0,0,0,0
16.4,0,0,0,0
16.4,0,0,0,0
16.5,0,0,0,0
16.8,0,0,0,0
17.2,0,0,0,0
17.1,0,0,0,0
16.9,0,0,0,0
17.3,0,0,0,0
17.2,0,0,0,0
17.1,0.01,0.01,0,0
16.3,0.03,0.09,11.2,-69.4
15.7,0.06,0.24,23.3,-60.8
16,0.06,0.38,34.4,-49.8
16.4,0.06,0.49,43.4,-35
16,0.03,0.58,49.2,-15.4
15.7,0.06,0.57,50.1,7.2
15.3,0.05,0.53,46,28.3
15.1,0.04,0.43,38,44.8
15,0.05,0.3,27.6,57.1
14.6,0.05,0.16,15.8,66.4
14,0.1,0.03,3.2,74
13.8,0,0,0,0
13.6,0,0,0,0
13.5,0,0,0,0
13.3,0,0,0,0
13,0,0,0,0
12.8,0,0,0,0
12.2,0,0,0,0
12.8,0,0,0,0
12.5,0,0,0,0
12.6,0,0,0,0
12.6,0,0,0,0
12.8,0,0,0,0
12.7,0.01,0.01,0,0
12.7,0.06,0.11,11.4,-69.7
13.2,0.05,0.26,23.6,-61.1
13.4,0.11,0.47,34.6,-50.1
15.3,0.09,0.61,43.7,-35.2
15.4,0.05,0.58,49.5,-15.5
15,0.06,0.57,50.5,7.3
14.1,0.06,0.54,46.3,28.5
13.9,0.06,0.43,38.3,45.1
14.2,0.05,0.3,27.8,57.4
13.4,0.06,0.16,16,66.7
13,0.09,0.03,3.3,74.3
12.9,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
12.8,0,0,0,0
12.8,0,0,0,0
12.8,0,0,0,0
12.8,0,0,0,0
12.1,0,0,0,0
12.7,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
13.1,0,0,0,0
12.5,0.01,0.01,0,0
11.5,0.05,0.1,11.6,-70
11.3,0.03,0.2,23.8,-61.4
12,0.06,0.43,34.9,-50.4
14.1,0.38,0.81,44,-35.4
13.7,0.08,0.59,49.9,-15.6
13.8,0.06,0.61,50.8,7.4
14.5,0.12,0.65,46.6,28.8
14.8,0.18,0.62,38.5,45.4
14.8,0.06,0.33,28,57.7
13.9,0.06,0.18,16.1,67
13.8,0.07,0.03,3.5,74.6
13.7,0,0,0,0
13.6,0,0,0,0
12.7,0,0,0,0
12.7,0,0,0,0
12.7,0,0,0,0
13.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.5,0,0,0,0
14.3,0,0,0,0
14.4,0,0,0,0
14.4,0,0,0,0
14.2,0.01,0.01,0,0
15,0.06,0.12,11.8,-70.3
14.8,0.06,0.26,24,-61.7
15.8,0.18,0.54,35.1,-50.6
17.5,0.06,0.51,44.3,-35.7
16.8,0.03,0.6,50.2,-15.8
17.1,0.02,0.46,51.2,7.5
16.8,0.02,0.42,46.9,29
16.5,0.05,0.45,38.8,45.7
16.9,0.06,0.3,28.2,58
16.5,0.06,0.17,16.3,67.4
15.1,0.06,0.03,3.6,74.9
14.8,0,0,0,0
14.7,0,0,0,0
15.2,0,0,0,0
14.9,0,0,0,0
15,0,0,0,0
15.1,0,0,0,0
15.5,0,0,0,0
15.7,0,0,0,0
15.7,0,0,0,0
15.8,0,0,0,0
15.7,0,0,0,0
15.5,0,0,0,0
15.5,0.01,0.01,0,0
16.1,0.01,0.07,12,-70.6
16.7,0.08,0.29,24.2,-62
17.5,0.11,0.49,35.4,-50.9
18.5,0.18,0.7,44.6,-35.9
18.4,0.37,0.92,50.5,-15.9
19.3,0.05,0.62,51.5,7.6
18.7,0.05,0.58,47.2,29.3
18.5,0.06,0.47,39,46.1
18.4,0.06,0.33,28.4,58.4
17.8,0.07,0.18,16.5,67.7
17.8,0.1,0.04,3.8,75.2
17.6,0,0,0,0
17.6,0,0,0,0
17.7,0,0,0,0
17.8,0,0,0,0
17.8,0,0,0,0
17.8,0,0,0,0
17.8,0,0,0,0
17.3,0,0,0,0
17.8,0,0,0,0
17.8,0,0,0,0
17.1,0,0,0,0
16,0,0,0,0
15.5,0.01,0.02,0,0
16,0.02,0.09,12.2,-70.9
16.8,0.03,0.22,24.5,-62.3
17.2,0.06,0.41,35.7,-51.2
17.7,0.06,0.53,45,-36.2
18,0.03,0.46,50.9,-16
17.9,0.02,0.47,51.9,7.7
18,0.05,0.56,47.6,29.6
17.3,0.06,0.46,39.3,46.4
17.7,0.47,0.53,28.6,58.7
18.1,0.06,0.18,16.6,68
17.4,0.1,0.04,3.9,75.6
16.9,0,0,0,0
15.8,0,0,0,0
15.9,0,0,0,0
15.4,0,0,0,0
15,0,0,0,0
14.9,0,0,0,0
14.2,0,0,0,0
14.2,0,0,0,0
14,0,0,0,0
13.7,0,0,0,0
13.2,0,0,0,0
12.1,0,0,0,0
11.9,0.03,0.02,0,0
12,0.15,0.17,12.4,-71.2
12.6,0.2,0.38,24.7,-62.6
13.2,0.72,0.68,35.9,-51.5
13.5,0.71,0.86,45.3,-36.4
14.4,1.42,0.81,51.3,-16.1
14.1,0.89,0.97,52.2,7.8
14.7,0.4,0.89,47.9,29.8
15.6,0.68,0.75,39.5,46.7
13.5,1.07,0.5,28.8,59
13.1,0.74,0.3,16.8,68.3
11.8,0.17,0.06,4.1,75.9
11.4,0,0,0,0
11.7,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
11.7,0,0,0,0
11.6,0,0,0,0
10.8,0,0,0,0
10,0,0,0,0
10.5,0,0,0,0
10.9,0,0,0,0
10.8,0,0,0,0
9.7,0,0,0,0
11.2,0.07,0.03,0,0
11.6,0.41,0.21,12.6,-71.5
13.1,1.73,0.32,24.9,-62.9
13.8,1.99,0.41,36.2,-51.8
15.4,2.34,0.38,45.6,-36.7
15.1,2.38,0.41,51.6,-16.2
14.6,2.38,0.42,52.6,7.9
15.7,2.38,0.39,48.2,30.1
16,2.3,0.34,39.8,47.1
16.2,2.15,0.27,29,59.4
15.5,1.69,0.21,17,68.7
14.5,0.54,0.06,4.2,76.2
13.7,0,0,0,0
13.2,0,0,0,0
13.8,0,0,0,0
14.2,0,0,0,0
13.3,0,0,0,0
13.3,0,0,0,0
13.3,0,0,0,0
13.3,0,0,0,0
13.7,0,0,0,0
13.8,0,0,0,0
13.9,0,0,0,0
14.7,0,0,0,0
15,0.01,0.02,0,0
15.4,0.17,0.18,12.8,-71.8
17.1,0.22,0.4,25.2,-63.2
18.1,1.01,0.66,36.5,-52.1
18.4,0.59,0.88,45.9,-36.9
18.8,1.24,0.88,52,-16.3
20,0.31,0.94,52.9,8
18.4,0.07,0.66,48.5,30.4
18.5,0.08,0.54,40,47.4
18.5,0.09,0.38,29.2,59.7
18.4,0.1,0.21,17.2,69
18,0.1,0.05,4.4,76.6
18.1,0,0,0,0
18.1,0,0,0,0
18.2,0,0,0,0
18,0,0,0,0
18,0,0,0,0
18.4,0,0,0,0
18.8,0,0,0,0
18.7,0,0,0,0
18.8,0,0,0,0
18.3,0,0,0,0
18,0,0,0,0
17.8,0,0,0,0
17.6,0.01,0.02,0.1,-79.3
17.8,0.06,0.13,13,-72.1
17.4,0.06,0.27,25.4,-63.5
16.8,0.03,0.3,36.8,-52.4
16.4,0.04,0.41,46.2,-37.1
15.2,0.07,0.58,52.3,-16.4
14.9,0.06,0.59,53.3,8.2
14.5,0.04,0.56,48.8,30.7
14.7,0.06,0.45,40.3,47.8
14.5,0.05,0.32,29.4,60.1
14.9,0.06,0.18,17.3,69.4
14.6,0.07,0.04,4.5,76.9
14.3,0,0,0,0
14,0,0,0,0
13.8,0,0,0,0
13.6,0,0,0,0
13,0,0,0,0
13,0,0,0,0
13.1,0,0,0,0
13,0,0,0,0
12.9,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.5,0,0,0,0
13.6,0.01,0.02,0.3,-79.6
13.7,0.06,0.13,13.2,-72.4
13.8,0.05,0.28,25.7,-63.8
14,0.06,0.42,37.1,-52.7
13.6,0.05,0.54,46.6,-37.4
14.9,0.04,0.62,52.7,-16.5
13.5,0.06,0.6,53.7,8.3
12.5,0.05,0.57,49.1,31
12.9,0.06,0.46,40.5,48.1
13.2,0.1,0.38,29.6,60.4
12.7,0.09,0.21,17.5,69.7
12.7,0.06,0.04,4.7,77.3
12.9,0,0,0,0
12.8,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
12.7,0,0,0,0
12.5,0,0,0,0
12.2,0,0,0,0
12,0,0,0,0
11.8,0,0,0,0
12.1,0,0,0,0
11.7,0,0,0,0
12.1,0,0,0,0
11.5,0.03,0.02,0.5,-79.9
12.1,0.06,0.14,13.5,-72.7
12.6,0.07,0.29,25.9,-64.1
13.9,0.11,0.52,37.4,-53
11.9,0.05,0.57,46.9,-37.6
12.6,0.06,0.62,53.1,-16.6
13,0.06,0.65,54,8.5
14,0.05,0.61,49.4,31.3
13.8,0.07,0.48,40.8,48.5
13.8,0.3,0.51,29.8,60.8
12.8,0.39,0.3,17.7,70.1
12.7,0.09,0.05,4.8,77.6
12.7,0,0,0,0
12.6,0,0,0,0
12.7,0,0,0,0
12.9,0,0,0,0
12.8,0,0,0,0
12.8,0,0,0,0
12.5,0,0,0,0
12.6,0,0,0,0
12.3,0,0,0,0
12.3,0,0,0,0
12.7,0,0,0,0
12.8,0,0,0,0
12.6,0.03,0.02,0.7,-80.2
13,0.26,0.21,13.7,-73
13.3,0.14,0.38,26.2,-64.4
13.8,0.23,0.63,37.6,-53.3
16,1.25,0.8,47.2,-37.9
15.2,0.13,0.81,53.4,-16.6
15.1,0.1,0.72,54.4,8.6
15.9,1.02,0.9,49.7,31.7
15.7,0.62,0.78,41,48.9
15,0.09,0.38,30,61.2
14.2,0.1,0.22,17.8,70.4
14.1,0.1,0.06,4.9,78
14.2,0,0,0,0
14.1,0,0,0,0
13.8,0,0,0,0
14.1,0,0,0,0
14.4,0,0,0,0
14.2,0,0,0,0
14.5,0,0,0,0
14.4,0,0,0,0
14.3,0,0,0,0
14.2,0,0,0,0
14.3,0,0,0,0
14.1,0,0,0,0
14.1,0,0.01,0.9,-80.5
14,0.02,0.08,13.9,-73.3
14.5,0.02,0.22,26.4,-64.7
14.8,0.04,0.31,37.9,-53.6
14.6,0.02,0.27,47.6,-38.2
14.2,0.05,0.27,53.8,-16.7
14.8,0.04,0.29,54.8,8.8
14.7,0,0.3,50,32
14.6,0,0.26,41.3,49.3
14.9,0,0.18,30.2,61.6
14.4,0.01,0.1,18,70.8
14.1,0.01,0.02,5.1,78.3
14.2,0,0,0,0
14.1,0,0,0,0
14,0,0,0,0
13.7,0,0,0,0
14,0,0,0,0
13.9,0,0,0,0
14.1,0,0,0,0
14.3,0,0,0,0
14.8,0,0,0,0
15.5,0,0,0,0
16.1,0,0,0,0
16.6,0,0,0,0
17.1,0.01,0.02,1.1,-80.8
16.5,0.04,0.13,14.2,-73.6
16.3,0.08,0.31,26.7,-65.1
16.7,0.18,0.62,38.2,-53.9
18.1,0.18,0.75,47.9,-38.4
17.6,0.11,0.76,54.2,-16.8
18.7,0.1,0.78,55.1,9
18.5,0.28,0.87,50.3,32.4
18.5,0.08,0.5,41.5,49.7
18.5,0.3,0.53,30.4,61.9
18.1,0.07,0.2,18.1,71.1
17.7,0.09,0.06,5.2,78.7
17.2,0,0,0,0
17.5,0,0,0,0
17.1,0,0,0,0
17.2,0,0,0,0
17,0,0,0,0
16.7,0,0,0,0
16.8,0,0,0,0
16.5,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.1,0,0,0,0
15.9,0,0,0,0
16,0.07,0.03,1.3,-81.1
16.2,0.1,0.17,14.4,-73.9
16.6,0.09,0.33,26.9,-65.4
16.4,0.07,0.5,38.5,-54.2
17.2,0.07,0.62,48.3,-38.7
17,0.21,0.88,54.6,-16.9
17.7,0.2,0.9,55.5,9.1
16.9,0.14,0.74,50.7,32.7
17.5,1.22,0.71,41.8,50
17.8,1.22,0.51,30.6,62.3
16.6,0.09,0.22,18.3,71.5
15.7,0.08,0.06,5.3,79
15.1,0,0,0,0
15.3,0,0,0,0
15.9,0,0,0,0
14.8,0,0,0,0
14.8,0,0,0,0
14.9,0,0,0,0
14.6,0,0,0,0
14.3,0,0,0,0
14.1,0,0,0,0
13.8,0,0,0,0
13.4,0,0,0,0
13.8,0,0,0,0
13.6,0.04,0.02,1.5,-81.5
13.6,0.06,0.14,14.6,-74.3
14.2,0.02,0.22,27.2,-65.7
14.1,0.01,0.35,38.8,-54.5
15.4,0.04,0.56,48.6,-38.9
14.8,0.05,0.62,55,-17
15.7,0.03,0.65,55.9,9.3
15.3,0.05,0.58,51,33.1
16.2,0.05,0.47,42,50.5
15.5,0.04,0.34,30.8,62.7
15.1,0.06,0.19,18.4,71.9
15.3,0.06,0.05,5.5,79.4
14.9,0,0,0,0
15,0,0,0,0
15.1,0,0,0,0
15.1,0,0,0,0
14.2,0,0,0,0
14.5,0,0,0,0
14.7,0,0,0,0
14.3,0,0,0,0
13.4,0,0,0,0
13.6,0,0,0,0
13.4,0,0,0,0
13.6,0,0,0,0
13.3,0.01,0.02,1.8,-81.8
13.1,0.03,0.12,14.9,-74.6
13.5,0.06,0.3,27.5,-66
13.7,0.01,0.34,39.1,-54.9
13.2,0,0.3,49,-39.2
13.5,0.02,0.48,55.3,-17.1
13.6,0.07,0.61,56.2,9.5
13.9,0,0.46,51.3,33.5
13.7,0.03,0.35,42.2,50.9
13.5,0.02,0.28,31,63.1
13.3,0.01,0.11,18.6,72.3
13.2,0.01,0.03,5.6,79.8
12.8,0,0,0,0
12.8,0,0,0,0
12.9,0,0,0,0
12.8,0,0,0,0
12.6,0,0,0,0
12,0,0,0,0
12,0,0,0,0
12.2,0,0,0,0
11.9,0,0,0,0
11.9,0,0,0,0
11.7,0,0,0,0
11.6,0,0,0,0
11.4,0.04,0.02,2,-82.1
11.5,0.06,0.15,15.1,-74.9
12.1,0.06,0.3,27.7,-66.3
12.4,0.06,0.45,39.4,-55.2
11.6,0.02,0.42,49.3,-39.5
11.2,0.02,0.49,55.7,-17.2
11.6,0.08,0.62,56.6,9.7
11.9,0.04,0.59,51.6,33.8
11.6,0.06,0.48,42.5,51.3
12.3,0.06,0.34,31.2,63.5
11.9,0.08,0.22,18.8,72.6
11.4,0.06,0.05,5.7,80.1
11.2,0,0,0,0
11.1,0,0,0,0
11.2,0,0,0,0
11,0,0,0,0
11,0,0,0,0
10.9,0,0,0,0
10.7,0,0,0,0
10.7,0,0,0,0
10.8,0,0,0,0
10.7,0,0,0,0
10.9,0,0,0,0
11,0,0,0,0
10.9,0.11,0.03,2.2,-82.4
11.2,0.15,0.21,15.3,-75.2
12.1,0.11,0.37,28,-66.7
12.2,0.17,0.62,39.7,-55.5
13.3,0.64,0.94,49.7,-39.7
13.7,0.82,1.03,56.1,-17.3
14.1,0.62,1.06,57,9.9
14.7,1.31,0.85,51.9,34.2
14.7,0.23,0.73,42.7,51.7
12.5,0.47,0.58,31.4,63.9
12.7,0.15,0.26,18.9,73
11.5,0.12,0.06,5.9,80.5
11.2,0,0,0,0
11.2,0,0,0,0
11.1,0,0,0,0
10.6,0,0,0,0
10.4,0,0,0,0
10.3,0,0,0,0
9.9,0,0,0,0
10.5,0,0,0,0
10.8,0,0,0,0
10.8,0,0,0,0
10.9,0,0,0,0
10.9,0,0,0,0
10.9,0.18,0.04,2.4,-82.7
12.1,0.25,0.24,15.6,-75.5
12.4,0.79,0.51,28.3,-67
13.2,1.17,0.69,40,-55.8
14.3,0.74,0.94,50,-40
14.1,0.7,1.06,56.5,-17.4
14.6,0.9,1.04,57.4,10.2
14.7,1.76,0.68,52.2,34.6
14.3,0.87,0.8,42.9,52.1
14.8,0.66,0.58,31.5,64.3
13.4,0.21,0.29,19.1,73.4
12.8,0.26,0.09,6,80.9
12.4,0,0,0,0
12.5,0,0,0,0
12.4,0,0,0,0
12.6,0,0,0,0
12,0,0,0,0
11.7,0,0,0,0
11.3,0,0,0,0
11.2,0,0,0,0
11.2,0,0,0,0
11.1,0,0,0,0
10.5,0,0,0,0
10.7,0,0,0,0
10.9,0.18,0.04,2.7,-83.1
11.6,0.54,0.27,15.8,-75.8
12.9,0.75,0.52,28.5,-67.3
13.9,0.75,0.76,40.3,-56.2
14.6,0.7,0.95,50.4,-40.3
14.5,1.1,0.98,56.9,-17.4
14,0.38,1.04,57.7,10.4
13.6,1.14,0.9,52.5,35
14.5,0.88,0.8,43.2,52.6
13.7,0.5,0.58,31.7,64.7
13.6,0.14,0.26,19.2,73.8
12.6,0.17,0.08,6.1,81.2
11.6,0,0,0,0
11.6,0,0,0,0
11.4,0,0,0,0
11.5,0,0,0,0
12.1,0,0,0,0
11.5,0,0,0,0
11.5,0,0,0,0
11.1,0,0,0,0
12.1,0,0,0,0
12.7,0,0,0,0
11.4,0,0,0,0
11.5,0,0,0,0
12.3,0.27,0.04,2.9,-83.4
13.6,1.22,0.25,16.1,-76.2
15.4,1.82,0.34,28.8,-67.6
15.6,0.81,0.76,40.6,-56.5
16,0.17,0.79,50.7,-40.6
16.2,0.48,1.06,57.3,-17.5
15.9,0.11,0.79,58.1,10.6
15.8,0.35,0.95,52.8,35.5
16.1,0.11,0.61,43.4,53
15.6,0.11,0.44,31.9,65.1
15.6,0.37,0.33,19.3,74.2
14.3,0.18,0.08,6.3,81.6
13.5,0,0,0,0
13.7,0,0,0,0
13.4,0,0,0,0
13.6,0,0,0,0
13.8,0,0,0,0
13.5,0,0,0,0
13.4,0,0,0,0
13.7,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.5,0,0,0,0
13.1,0,0,0,0
13.2,1.22,0.05,3.1,-83.7
15,1.64,0.2,16.3,-76.5
16.2,2.2,0.26,29.1,-68
17.1,2.37,0.32,40.9,-56.8
17.7,2.42,0.38,51.1,-40.8
18.2,2.44,0.42,57.7,-17.6
18.4,2.45,0.42,58.5,10.9
18.2,2.42,0.4,53.1,35.9
17.7,2.38,0.34,43.6,53.5
17.2,2.26,0.27,32.1,65.6
16.4,1.89,0.21,19.5,74.6
14.8,0.99,0.1,6.4,82
13.8,0,0,0,0
14,0,0,0,0
14,0,0,0,0
13.6,0,0,0,0
13.7,0,0,0,0
13.3,0,0,0,0
13.2,0,0,0,0
13.3,0,0,0,0
13.2,0,0,0,0
13.5,0,0,0,0
13.8,0,0,0,0
13.7,0,0,0,0
13.6,0.28,0.05,3.4,-84
16.1,1.35,0.24,16.6,-76.8
17.7,1.82,0.35,29.3,-68.3
17.7,0.12,0.59,41.3,-57.1
18.4,0.27,0.89,51.4,-41.1
19.5,0.63,1.08,58.1,-17.7
20.2,0.17,0.92,58.9,11.1
19.8,0.49,0.99,53.4,36.3
19.9,0.36,0.8,43.9,53.9
19.1,0.75,0.6,32.2,66
19,0.21,0.3,19.6,75
17.6,0.14,0.08,6.5,82.4
16.8,0,0,0,0
16.8,0,0,0,0
17,0,0,0,0
17.4,0,0,0,0
17.6,0,0,0,0
16.8,0,0,0,0
17,0,0,0,0
16.4,0,0,0,0
16.2,0,0,0,0
16.1,0,0,0,0
16.2,0,0,0,0
15.6,0,0,0,0
15.6,0.07,0.03,3.6,-84.3
15.1,0.1,0.21,16.8,-77.1
15.3,0.5,0.54,29.6,-68.6
16.8,0.44,0.78,41.6,-57.5
16.5,1.78,0.66,51.8,-41.4
17.3,1.46,0.88,58.5,-17.8
16.9,1.45,0.89,59.2,11.4
15.9,1.78,0.69,53.7,36.8
14.9,0.56,0.83,44.1,54.4
15,1.37,0.5,32.4,66.4
14,1.11,0.32,19.8,75.4
12.5,0.42,0.1,6.6,82.8
12.2,0,0,0,0
12.3,0,0,0,0
12.3,0,0,0,0
12,0,0,0,0
12.1,0,0,0,0
11.6,0,0,0,0
11.6,0,0,0,0
12,0,0,0,0
12.6,0,0,0,0
12.3,0,0,0,0
12.3,0,0,0,0
12.6,0,0,0,0
12.3,0.34,0.06,3.9,-84.7
13.5,0.58,0.3,17.1,-77.5
14.2,1.84,0.36,29.9,-69
15.3,1.38,0.66,41.9,-57.8
16.1,1.95,0.59,52.1,-41.7
15.6,1.96,0.66,58.9,-17.9
17,2.31,0.49,59.6,11.6
16.6,2.31,0.45,54,37.2
16.5,2.26,0.38,44.3,54.8
16.2,2.14,0.31,32.6,66.8
15.5,1.62,0.26,19.9,75.8
15,0.46,0.1,6.8,83.1
14.5,0,0,0,0
14.6,0,0,0,0
14.8,0,0,0,0
15.4,0,0,0,0
14.5,0,0,0,0
14.3,0,0,0,0
14.6,0,0,0,0
15,0,0,0,0
14.9,0,0,0,0
15.1,0,0,0,0
15,0,0,0,0
15.1,0,0,0,0
15.2,0.23,0.06,4.1,-85
16.5,0.84,0.3,17.3,-77.8
18.3,1.88,0.35,30.2,-69.3
18.7,0.29,0.74,42.2,-58.2
19.1,1.35,0.84,52.5,-42
19.6,0.54,1.09,59.3,-17.9
18.8,0.15,0.88,60,11.9
19.2,1.13,0.94,54.3,37.7
20,0.54,0.84,44.5,55.3
19.9,1.41,0.5,32.8,67.3
18.9,0.67,0.35,20.1,76.2
18.2,0.25,0.1,6.9,83.5
17.1,0,0,0,0
16.9,0,0,0,0
16.7,0,0,0,0
16.7,0,0,0,0
17.2,0,0,0,0
17,0,0,0,0
17.1,0,0,0,0
17.1,0,0,0,0
17.5,0,0,0,0
17.4,0,0,0,0
17.5,0,0,0,0
17.6,0,0,0,0
17.6,0.06,0.04,4.3,-85.3
18.5,0.15,0.24,17.6,-78.1
18.9,0.05,0.34,30.4,-69.7
18.1,0.06,0.48,42.5,-58.5
17.1,0.05,0.43,52.8,-42.3
17.2,0.06,0.47,59.7,-18
17.5,0.04,0.68,60.4,12.2
17.2,0.06,0.62,54.6,38.2
17.3,0.04,0.51,44.7,55.8
16.8,0.06,0.36,32.9,67.7
16.6,0.06,0.21,20.2,76.6
16.3,0.06,0.06,7,83.9
16.2,0,0,0,0
